Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2012,188899,HAY SUDAN ,31,Kings ,817,4.72,3860,139.9,Tons ,540000
2012,188899,HAY SUDAN ,47,Merced ,10200,4.02,41000,162.9,Tons ,6679000
2012,188899,HAY SUDAN ,65,Riverside ,2430,3.88,9440,193.54,Tons ,1827000
2012,188899,HAY SUDAN ,67,Sacramento ,2020,3.4,6870,140.32,Tons ,964000
2012,188899,HAY SUDAN ,71,San Bernardino ,90,2.78,250,1800,Tons ,450000
2012,188899,HAY SUDAN ,95,Solano ,9020,3.4,30700,205.7,Tons ,6315000
2012,188899,HAY SUDAN ,99,Stanislaus ,4580,11.99,54900,33.01,Tons ,1812000
2012,188899,HAY SUDAN ,107,Tulare ,13600,16.1,219000,34.2,Tons ,7490000
2012,188899,HAY SUDAN ,991,Sum of Others ,4075,2.7,11020,171.87,Tons ,1894000
2012,188899,HAY SUDAN ,999, State Totals ,110632,6.56,726040,127.62, ,92657000
2012,188799,HAY WILD ,49,Modoc ,20000,1.75,35000,110,Tons ,3850000
2012,188799,HAY WILD ,63,Plumas ,3000,2,6000,183,Tons ,1098000
2012,188799,HAY WILD ,81,San Mateo ,162,2.94,476,75.63,Tons ,36000
2012,188799,HAY WILD ,91,Sierra ,1620,1.7,2750,172.36,Tons ,474000
2012,188799,HAY WILD ,95,Solano ,1490,3.95,5890,178.44,Tons ,1051000
2012,188799,HAY WILD ,97,Sonoma ,738,0.64,472,241.53,Tons ,114000
2012,188799,HAY WILD ,105,Trinity ,275,1.29,355,48.17,Tons ,17100
2012,188799,HAY WILD ,991,Sum of Others ,90,1.62,146,171.92,Tons ,25100
2012,188799,HAY WILD ,999, State Totals ,27375,1.87,51089,130.46, ,6665200
2012,475999,HIDES SKIN & FUR ,991,Sum of Others , , , , , ,120
2012,475999,HIDES SKIN & FUR ,999, State Totals , , , , , ,120
2012,429999,HOGS & PIGS UNSPECIFIED ,5,Amador , , , , , ,15000
2012,429999,HOGS & PIGS UNSPECIFIED ,19,Fresno , , , , , ,12321000
2012,429999,HOGS & PIGS UNSPECIFIED ,21,Glenn , , , , , ,281000
2012,429999,HOGS & PIGS UNSPECIFIED ,29,Kern , , , , , ,263000
2012,429999,HOGS & PIGS UNSPECIFIED ,35,Lassen , , , , , ,33300
2012,429999,HOGS & PIGS UNSPECIFIED ,45,Mendocino , , , , , ,83700
2012,429999,HOGS & PIGS UNSPECIFIED ,53,Monterey , , , , , ,245000
2012,429999,HOGS & PIGS UNSPECIFIED ,59,Orange , , , , , ,48500
2012,429999,HOGS & PIGS UNSPECIFIED ,71,San Bernardino , , , , , ,849000
2012,429999,HOGS & PIGS UNSPECIFIED ,73,San Diego , , , , , ,97700
2012,429999,HOGS & PIGS UNSPECIFIED ,89,Shasta , , , , , ,144000
2012,429999,HOGS & PIGS UNSPECIFIED ,97,Sonoma , , , , , ,164000
2012,429999,HOGS & PIGS UNSPECIFIED ,99,Stanislaus , , , , , ,2457000
2012,429999,HOGS & PIGS UNSPECIFIED ,103,Tehama , , , , , ,107000
2012,429999,HOGS & PIGS UNSPECIFIED ,107,Tulare , , , , , ,15300000
2012,429999,HOGS & PIGS UNSPECIFIED ,991,Sum of Others , , , , , ,334400
2012,429999,HOGS & PIGS UNSPECIFIED ,999, State Totals , , , , , ,32743600
2012,393999,HORSERADISH ,49,Modoc ,436,2.5,1090,500,Tons ,545000
2012,393999,HORSERADISH ,93,Siskiyou ,170,5,850,500,Tons ,425000
2012,393999,HORSERADISH ,999, State Totals ,606,3.2,1940,500, ,970000
2012,337999,KALE ,53,Monterey ,1880,12.82,24100,767.47,Tons ,18496000
2012,337999,KALE ,111,Ventura ,677,13.41,9080,2333.15,Tons ,21185000
2012,337999,KALE ,991,Sum of Others ,692,4.79,3313,3201.67,Tons ,10607145
2012,337999,KALE ,999, State Totals ,3249,11.23,36493,1378.02, ,50288145
2012,229999,KIWIFRUIT ,7,Butte ,676,8.28,5600,990.71,Tons ,5548000
2012,229999,KIWIFRUIT ,19,Fresno ,312,8.59,2680,645.9,Tons ,1731000
2012,229999,KIWIFRUIT ,101,Sutter ,166,8.43,1400,615.71,Tons ,862000
2012,229999,KIWIFRUIT ,107,Tulare ,1870,3.36,6280,842.99,Tons ,5294000
2012,229999,KIWIFRUIT ,115,Yuba ,319,8.1,2584,1739.94,Tons ,4496000
2012,229999,KIWIFRUIT ,991,Sum of Others ,59,7.2,425,704.24,Tons ,299300
2012,229999,KIWIFRUIT ,999, State Totals ,3402,5.58,18969,961.06, ,18230300
2012,338999,KOHLRABI ,991,Sum of Others ,168,1.78,299,873.15,Tons ,261072
2012,338999,KOHLRABI ,999, State Totals ,168,1.78,299,873.15, ,261072
2012,207999,KUMQUATS ,73,San Diego ,99,4,396,4601.01,Tons ,1822000
2012,207999,KUMQUATS ,999, State Totals ,99,4,396,4601.01, ,1822000
2012,387999,LEEKS ,53,Monterey ,287,12.16,3490,1122.35,Tons ,3917000
2012,387999,LEEKS ,81,San Mateo ,158,10.13,1600,873.13,Tons ,1397000
2012,387999,LEEKS ,991,Sum of Others ,344,6.9,2373,2797.8,Tons ,6639190
2012,387999,LEEKS ,999, State Totals ,789,9.46,7463,1601.66, ,11953190
2012,204999,LEMONS ALL ,19,Fresno ,2550,10.51,26800,682.01,Tons ,18278000
2012,204999,LEMONS ALL ,25,Imperial ,2240,12.86,28800,603.99,TONS ,17395000
2012,204999,LEMONS ALL ,29,Kern ,3150,11.56,36400,998.85,Tons ,36358000
2012,204999,LEMONS ALL ,53,Monterey ,1240,29.92,37100,408.38,Tons ,15151000
2012,204999,LEMONS ALL ,65,Riverside ,5410,13.75,74400,892.02,Tons ,66366000
2012,204999,LEMONS ALL ,71,San Bernardino ,261,1.02,266,157.89,Tons ,42000
2012,204999,LEMONS ALL ,73,San Diego ,3480,16.98,59100,1159.17,Tons ,68507000
2012,204999,LEMONS ALL ,79,San Luis Obisp ,1470,27.89,41000,221.07,Tons ,9064000
2012,204999,LEMONS ALL ,83,Santa Barbara ,1400,14.07,19700,528.17,Tons ,10405000
2012,204999,LEMONS ALL ,107,Tulare ,3960,12.8,50700,958.01,Tons ,48571000
2012,204999,LEMONS ALL ,111,Ventura ,15600,19.36,302000,668.28,Tons ,201820000
2012,204999,LEMONS ALL ,991,Sum of Others ,398,43.07,17143,298.98,Tons ,5125380
2012,204999,LEMONS ALL ,999, State Totals ,41159,16.85,693409,716.87, ,497082380
2012,339196,LETTUCE BULK SALAD PRODUCTS ,25,Imperial , , ,8000,1267.5,TONS ,10140000
2012,339196,LETTUCE BULK SALAD PRODUCTS ,53,Monterey , , ,182000,419.98,Tons ,76436000
2012,339196,LETTUCE BULK SALAD PRODUCTS ,69,San Benito ,4780,3.24,15500,1904.77, ,29524000
2012,339196,LETTUCE BULK SALAD PRODUCTS ,991,Sum of Others ,208,4.53,942,788.75,Tons ,743000
2012,339196,LETTUCE BULK SALAD PRODUCTS ,999, State Totals , , ,206442,565.98, ,116843000
2012,340999,LETTUCE HEAD ,19,Fresno ,13980,15.3,213900,311.13,Tons ,66551000
2012,340999,LETTUCE HEAD ,25,Imperial ,21200,16.7,354000,304.1,TONS ,107651000
2012,340999,LETTUCE HEAD ,53,Monterey ,44768,26.38,1181000,403.38,Tons ,476396000
2012,340999,LETTUCE HEAD ,65,Riverside ,1370,11.24,15400,280.58,Tons ,4321000
2012,340999,LETTUCE HEAD ,69,San Benito ,523,19.69,10300,375.83,Tons ,3871000
2012,340999,LETTUCE HEAD ,79,San Luis Obisp ,2510,17.77,44600,295.58,Tons ,13183000
2012,340999,LETTUCE HEAD ,83,Santa Barbara ,9460,17.12,162000,410.05,Tons ,66428000
2012,340999,LETTUCE HEAD ,87,Santa Cruz ,1530,19.08,29200,211.95,Tons ,6189000
2012,340999,LETTUCE HEAD ,111,Ventura ,196,13.72,2690,726.02,Tons ,1953000
2012,340999,LETTUCE HEAD ,991,Sum of Others ,241,17.63,4250,344,Tons ,1462000
2012,340999,LETTUCE HEAD ,999, State Totals ,95778,21.06,2017340,370.79, ,748005000
2012,342999,LETTUCE LEAF ,19,Fresno ,7340,11.17,82000,740,Tons ,60680000
2012,342999,LETTUCE LEAF ,25,Imperial ,9660,16.67,161000,502.17,TONS ,80849000
2012,342999,LETTUCE LEAF ,53,Monterey ,29300,18.4,539000,531.97,Tons ,286730000
2012,342999,LETTUCE LEAF ,65,Riverside ,1140,7.6,8660,910.85,Tons ,7888000
2012,342999,LETTUCE LEAF ,69,San Benito ,295,10.47,3090,660.19,Tons ,2040000
2012,342999,LETTUCE LEAF ,79,San Luis Obisp ,1140,10.35,11800,503.22,Tons ,5938000
2012,342999,LETTUCE LEAF ,83,Santa Barbara ,3740,8.61,32200,684.01,Tons ,22025000
2012,342999,LETTUCE LEAF ,87,Santa Cruz ,1460,14.59,21300,319.81,Tons ,6812000
2012,342999,LETTUCE LEAF ,111,Ventura ,916,10.92,10000,696.6,Tons ,6966000
2012,342999,LETTUCE LEAF ,991,Sum of Others ,1462,5.4,7889,707.42,Tons ,5580800
2012,342999,LETTUCE LEAF ,999, State Totals ,56453,15.53,876939,553.64, ,485508800
2012,341999,LETTUCE ROMAINE ,25,Imperial ,7740,13.44,104000,573.15,TONS ,59608000
2012,341999,LETTUCE ROMAINE ,53,Monterey ,50400,19.5,983000,509.52,Tons ,500860000
2012,341999,LETTUCE ROMAINE ,65,Riverside ,2340,12.61,29500,485.97,Tons ,14336000
2012,341999,LETTUCE ROMAINE ,69,San Benito ,3250,13.23,43000,627.79,Tons ,26995000
2012,341999,LETTUCE ROMAINE ,111,Ventura ,882,15.19,13400,426.49,Tons ,5715000
2012,341999,LETTUCE ROMAINE ,991,Sum of Others ,235,15.49,3640,467.31,Tons ,1701000
2012,341999,LETTUCE ROMAINE ,999, State Totals ,64847,18.14,1176540,517.8, ,609215000
2012,339999,LETTUCE UNSPECIFIED ,59,Orange ,6,5.33,32,2381.25,Tons ,76200
2012,339999,LETTUCE UNSPECIFIED ,73,San Diego ,517,13.71,7090,698.31,Tons ,4951000
2012,339999,LETTUCE UNSPECIFIED ,85,Santa Clara ,1300,13.77,17900,351.28,Tons ,6288000
2012,339999,LETTUCE UNSPECIFIED ,991,Sum of Others ,96,5.19,498,737.17,Tons ,367110
2012,339999,LETTUCE UNSPECIFIED ,999, State Totals ,1919,13.3,25520,457.77, ,11682310
2012,205999,LIMES ALL ,73,San Diego ,372,6.99,2600,651.15,Tons ,1693000
2012,205999,LIMES ALL ,991,Sum of Others ,1,9,9,43.22,Tons ,389
2012,205999,LIMES ALL ,999, State Totals ,373,6.99,2609,649.06, ,1693389
2012,478999,LIVESTOCK PRODUCTS MISC. ,5,Amador , , , , , ,60600
2012,478999,LIVESTOCK PRODUCTS MISC. ,9,Calaveras , , , , , ,30000
