id,name,type,year,variable,value
310M200US17780,"College Station-Bryan, TX Metro Area",metro,"2,006",per_capita_gdp_percent_change,-11.1493560508
310M200US40380,"Rochester, NY Metro Area",metro,"2,004",per_capita_gdp,"45,831"
310M200US39380,"Pueblo, CO Metro Area",metro,"2,013",per_capita_gdp_percent_change,-10.4910714286
310M200US44180,"Springfield, MO Metro Area",metro,"2,016",per_capita_gdp,"35,493"
0400000US25,Massachusetts State,state,"2,016",per_capita_gdp,"70,004"
310M200US41740,"San Diego-Carlsbad, CA Metro Area",metro,"2,003",per_capita_gdp,"54,575"
310M200US18700,"Corvallis, OR Metro Area",metro,"2,010",per_capita_gdp_percent_change,62.6967365616
310M200US38540,"Pocatello, ID Metro Area",metro,"2,001",per_capita_gdp,"27,507"
310M200US44100,"Springfield, IL Metro Area",metro,"2,013",per_capita_gdp_percent_change,2.2941264385
310M200US34580,"Mount Vernon-Anacortes, WA Metro Area",metro,"2,002",per_capita_gdp_percent_change,38.1420765027
310M200US34740,"Muskegon, MI Metro Area",metro,"2,014",per_capita_gdp,"29,115"
310M200US19740,"Denver-Aurora-Lakewood, CO Metro Area",metro,"2,003",per_capita_gdp_percent_change,61.5725451343
0400000US56,Wyoming State,state,"2,014",per_capita_gdp_percent_change,35.1847686047
0400000US29,Missouri State,state,"2,010",per_capita_gdp,"44,988"
310M200US14500,"Boulder, CO Metro Area",metro,"2,011",per_capita_gdp_percent_change,114.262067139
310M200US43580,"Sioux City, IA-NE-SD Metro Area",metro,"2,006",per_capita_gdp,"49,557"
310M200US13780,"Binghamton, NY Metro Area",metro,"2,010",per_capita_gdp_percent_change,-8.1217747582
310M200US43420,"Sierra Vista-Douglas, AZ Metro Area",metro,"2,001",per_capita_gdp,"26,596"
310M200US45820,"Topeka, KS Metro Area",metro,"2,013",per_capita_gdp,"39,214"
310M200US35660,"Niles-Benton Harbor, MI Metro Area",metro,"2,012",per_capita_gdp_percent_change,18.3545137288
310M200US48260,"Weirton-Steubenville, WV-OH Metro Area",metro,"2,002",per_capita_gdp_percent_change,-25.8880778589
310M200US47580,"Warner Robins, GA Metro Area",metro,"2,013",per_capita_gdp,"32,681"
310M200US49700,"Yuba City, CA Metro Area",metro,"2,006",per_capita_gdp_percent_change,-22.2300694955
310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",metro,"2,017",per_capita_gdp,"56,840"
310M200US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",metro,"2,010",per_capita_gdp_percent_change,-10.9983308522
310M200US13740,"Billings, MT Metro Area",metro,"2,002",per_capita_gdp_percent_change,28.0011478494
310M200US28940,"Knoxville, TN Metro Area",metro,"2,008",per_capita_gdp_percent_change,-19.7771811005
310M200US39540,"Racine, WI Metro Area",metro,"2,013",per_capita_gdp_percent_change,-20.4956359102
310M200US27900,"Joplin, MO Metro Area",metro,"2,010",per_capita_gdp_percent_change,-45.0572734949
310M200US28660,"Killeen-Temple, TX Metro Area",metro,"2,005",per_capita_gdp_percent_change,-37.2259733046
310M200US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",metro,"2,014",per_capita_gdp_percent_change,21.9879452055
310M200US45460,"Terre Haute, IN Metro Area",metro,"2,016",per_capita_gdp,"32,575"
0400000US22,Louisiana State,state,"2,012",per_capita_gdp_percent_change,-23.9238609113
310M200US11100,"Amarillo, TX Metro Area",metro,"2,008",per_capita_gdp_percent_change,-7.5100692402
310M200US25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",metro,"2,007",per_capita_gdp_percent_change,62.0676519884
310M200US29340,"Lake Charles, LA Metro Area",metro,"2,010",per_capita_gdp,"63,326"
0400000US32,Nevada State,state,"2,014",per_capita_gdp_percent_change,20.4471918979
310M200US12620,"Bangor, ME Metro Area",metro,"2,010",per_capita_gdp_percent_change,20.884828945
310M200US45940,"Trenton, NJ Metro Area",metro,"2,002",per_capita_gdp_percent_change,156.4946859903
310M200US27180,"Jackson, TN Metro Area",metro,"2,007",per_capita_gdp_percent_change,-11.7570528622
310M200US25220,"Hammond, LA Metro Area",metro,"2,012",per_capita_gdp,"27,474"
310M200US13900,"Bismarck, ND Metro Area",metro,"2,013",per_capita_gdp,"50,188"
310M200US24780,"Greenville, NC Metro Area",metro,"2,002",per_capita_gdp,"39,689"
310M200US49740,"Yuma, AZ Metro Area",metro,"2,015",per_capita_gdp_percent_change,-28.940874036
310M200US24540,"Greeley, CO Metro Area",metro,"2,006",per_capita_gdp,"30,582"
310M200US42200,"Santa Maria-Santa Barbara, CA Metro Area",metro,"2,013",per_capita_gdp_percent_change,19.7915115413
0400000US46,South Dakota State,state,"2,015",per_capita_gdp,"53,089"
310M200US44700,"Stockton-Lodi, CA Metro Area",metro,"2,017",per_capita_gdp,"31,601"
310M200US48060,"Watertown-Fort Drum, NY Metro Area",metro,"2,011",per_capita_gdp_percent_change,61.7302767955
310M200US11180,"Ames, IA Metro Area",metro,"2,013",per_capita_gdp_percent_change,16.9115098515
310M200US48140,"Wausau, WI Metro Area",metro,"2,006",per_capita_gdp_percent_change,-6.5912990815
310M200US39300,"Providence-Warwick, RI-MA Metro Area",metro,"2,006",per_capita_gdp,"43,456"
310M200US36140,"Ocean City, NJ Metro Area",metro,"2,011",per_capita_gdp_percent_change,9.861574466
310M200US41060,"St. Cloud, MN Metro Area",metro,"2,014",per_capita_gdp,"42,816"
310M200US22140,"Farmington, NM Metro Area",metro,"2,004",per_capita_gdp_percent_change,31.9050982239
310M200US45540,"The Villages, FL Metro Area",metro,"2,003",per_capita_gdp,"19,003"
310M200US31700,"Manchester-Nashua, NH Metro Area",metro,"2,001",per_capita_gdp,"43,700"
0400000US56,Wyoming State,state,"2,001",per_capita_gdp,"59,113"
0400000US22,Louisiana State,state,"2,015",per_capita_gdp_percent_change,21.3164532164
310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",metro,"2,013",per_capita_gdp_percent_change,-8.8844355377
0400000US11,District of Columbia State,state,"2,008",per_capita_gdp_percent_change,322.5333027102
310M200US23060,"Fort Wayne, IN Metro Area",metro,"2,010",per_capita_gdp,"41,713"
310M200US47020,"Victoria, TX Metro Area",metro,"2,012",per_capita_gdp,"47,127"
310M200US45820,"Topeka, KS Metro Area",metro,"2,009",per_capita_gdp,"39,244"
310M200US12940,"Baton Rouge, LA Metro Area",metro,"2,002",per_capita_gdp_percent_change,31.016995614
310M200US12420,"Austin-Round Rock, TX Metro Area",metro,"2,005",per_capita_gdp,"50,503"
310M200US16940,"Cheyenne, WY Metro Area",metro,"2,012",per_capita_gdp,"50,204"
310M200US27980,"Kahului-Wailuku-Lahaina, HI Metro Area",metro,"2,004",per_capita_gdp_percent_change,-3.1809687782
